TF,Target
CREB1,USP36
CREB1,VAMP2
CREB1,TCEAL9
CREB1,XPNPEP1
CREB1,XPR1
CREB1,YTHDF3
CREB1,ZFY
CREB1,ZFAND5
CREB1,ZNF23
SP1,ASIC1
SP1,ACLY
SP1,ADAM10
SP1,MLLT11
SP1,AFF4
SP1,ALOX12
SP1,ANKMY2
SP1,KANK2
SP1,ZBTB8OS
SP1,ARFIP1
SP1,ARHGEF19
SP1,ARID1A
SP1,ARL3
SP1,ARPC4
SP1,ASCL2
SP1,B4GALT2
SP1,BAHD1
SP1,BCL11B
SP1,BCL2
SP1,BCL3
SP1,BCL6
SP1,BCL6B
SP1,BCL9L
SP1,BDNF
SP1,PHF21A
SP1,BHLHE41
SP1,BRMS1L
SP1,BZW2
SP1,CSRNP2
SP1,SMG6
SP1,ODR4
SP1,UNC80
SP1,ATAT1
SP1,PRICKLE4
SP1,CAMKK1
SP1,CASQ1
SP1,CCNE1
SP1,SLC44A1
SP1,CEBPE
SP1,ARAP1
SP1,UTP18
SP1,CHD6
SP1,CITED2
SP1,CLPTM1
SP1,CLSTN1
SP1,COL12A1
SP1,COL13A1
SP1,CRYAB
SP1,CYP26B1
SP1,CHST14
SP1,DACH1
SP1,DES
SP1,DLL4
SP1,DNAH9
SP1,DNM3
SP1,DNMT3A
SP1,DPAGT1
SP1,ECE1
SP1,EDA
SP1,EDN3
SP1,EGLN2
SP1,EIF5A
SP1,EPN2
SP1,EPS15
SP1,FAF1
SP1,PLEKHA8
SP1,FBRS
SP1,KDM2A
SP1,FBXL19
SP1,FEV
SP1,FKBP14
SP1,UBE2Z
SP1,ZNF703
SP1,PIGV
SP1,C1orf54
SP1,YRDC
SP1,ZNF516-DT
SP1,C1orf122
SP1,PUSL1
SP1,FRS3
SP1,FXR2
SP1,GABARAP
SP1,GAD1
SP1,GALE
SP1,GAP43
SP1,GBF1
SP1,GFRA1
SP1,GGA1
SP1,GGN
SP1,GJB6
SP1,GLI1
SP1,GMIP
SP1,GPR3
SP1,GRIN2A
SP1,GRIPAP1
SP1,GSC
SP1,LARGE2
SP1,HMGA1
SP1,HMGN2
SP1,HNRNPA2B1
SP1,HNRNPUL1
SP1,HOXA3
SP1,HPN
SP1,HS2ST1
SP1,HSPB2
SP1,HYAL2
SP1,IDH3G
SP1,CADM1
SP1,CADM2
SP1,INCA1
SP1,ING2
SP1,IRF2BP1
SP1,KDM3A
SP1,KCND1
SP1,KCND2
SP1,KCNE5
SP1,KCNMA1
SP1,KCNQ4
SP1,KIF1C
SP1,KLF16
SP1,KLK8
SP1,KPNB1
SP1,PPP1R21
SP1,PDIK1L
SP1,FBXL19-AS1
SP1,DPY30
SP1,LRP1
SP1,LRRC4
SP1,LRRC8D
SP1,MAGED1
SP1,MAGED2
SP1,MAP3K6
SP1,MECOM
SP1,ZNF414
SP1,MARCKSL1
SP1,MN1
SP1,MNT
SP1,PALS1
SP1,MSMB
SP1,MTF1
SP1,MTMR3
SP1,MTSS1
SP1,MUC1
SP1,MYADM
SP1,NAGK
SP1,UBE2F
SP1,NCOA2
SP1,NDST2
SP1,NFE2L1
SP1,NFKBIA
SP1,NFYC
SP1,NOL4
SP1,NR2F2
SP1,NRAS
SP1,NUBP2
SP1,NXPH3
SP1,OAZ2
SP1,OLIG2
SP1,OSBP
SP1,OSBPL9
SP1,PACS1
SP1,PAK1
SP1,PCF11
SP1,PDE4C
SP1,PDLIM7
SP1,PEX14
SP1,JADE2
SP1,PIAS3
SP1,PI4KB
SP1,PIP4K2B
SP1,PKP3
SP1,PLCD1
SP1,PODN
SP1,PORCN
SP1,POU2F1
SP1,PPFIA2
SP1,PPP2R3A
SP1,PPRC1
SP1,PTCH2
SP1,JMJD6
SP1,RAB10
SP1,CDCA7L
SP1,RANBP10
SP1,RBBP4
SP1,RDH10
SP1,REM1
SP1,RING1
SP1,MEX3B
SP1,RNF24
SP1,ROBO3
SP1,RPL7
SP1,ATXN1
SP1,SEC63
SP1,SELENOF
SP1,SESN2
SP1,SRSF7
SP1,SFXN2
SP1,FBXW4
SP1,SIX4
SP1,SLC2A1
SP1,SLC7A10
SP1,SLITRK4
SP1,SLITRK5
SP1,SMARCA1
SP1,SNCB
SP1,SP4
SP1,SPATA6
SP1,CDC42SE1
SP1,SRR
SP1,SSR4
SP1,STMN1
SP1,SYNCRIP
SP1,TADA3
SP1,TAL1
SP1,TBX2
SP1,TBX5
SP1,TCEAL1
SP1,TCF12
SP1,SERINC2
SP1,TIGD4
SP1,NKX2-1
SP1,TMEFF1
SP1,TPM4
SP1,TPR
SP1,TRPM4
SP1,TSNAXIP1
SP1,UBE2D3
SP1,UNC13B
SP1,UST
SP1,VEGFA
SP1,VGLL2
SP1,VLDLR
SP1,WDFY2
SP1,NSD3
SP1,WNT5A
SP1,ZFP36
SP1,VEZF1
SP1,GGNBP2
SP1,ZNF512
HIF1A,NCAPH2
HIF1A,ABI2
HIF1A,NTMT1
HIF1A,ADK
HIF1A,AGPAT1
HIF1A,AK3
HIF1A,ALDH1A2
HIF1A,AMPD2
HIF1A,AP3M1
HIF1A,TMTC1
HIF1A,BMAL1
HIF1A,ASB3
HIF1A,ATP1B3
